Month,Ticker,Company_name,Stock_exchange,Industry,SIC_Code,BV_Y1,BV_Y2,BV_Y3,BV_Y4,BV_Y5,MV_Y1,MV_Y2,MV_Y3,MV_Y4,MV_Y5,BookValue_Quarterly,MarketValue_Quarterly,BMR_Quarterly,Size,Momentum
1,A,Agilent Technologies Inc,NYSE,Healthcare,3826,4243,4831,4567,4748,4873,13888.06491,14658.83346,21632.51727,21488.23982,26461.74713,4848,26461.74713,0.183207858,26461.71,11.63787
1,AAL,American Airlines Group Inc,NASDAQ,Industrials,4512,5635,3785,-780,-169,-118,26694.28658,24191.26353,24896.30677,14789.27078,12563.50261,-118,12563.50261,-0.009392285,12280.78,-28.43626
1,AAON,Aaon Inc,NASDAQ,Industrials,3585,178.918,205.898,237.226,249.443,290.14,1256.035791,1743.560682,1925.589326,1826.434467,2573.199426,290.14,2573.199426,0.112754572,2574.162,30.09222
1,AAP,Advance Auto Parts Inc,NYSE,Consumer Cyclicals,5531,2460.648,2916.192,3415.196,3550.813,3549.081,11022.84021,12456.30106,7366.895907,11477.84499,11092.58486,3549.081,11092.58486,0.319950764,11092.59,-11.6088
1,AAPL,Apple Inc,NASDAQ,Technology,3663,128249,134047,107147,90488,65339,583612.7016,608960.2491,868879.6198,748539.0805,1304764.767,89531,1304764.767,0.068618499,1304765,49.65282
1,AAT,American Assets Trust Inc,NYSE,Real Estate,6798,799.562,809.556,833.71,802.977,1313.917,1741.386024,1966.213418,1802.165542,1901.46338,2757.131665,1313.917,2757.131665,0.476552142,2752.026,14.1999
1,AAWW,Atlas Air Worldwide Holdings Inc,NASDAQ,Industrials,4512,1454.183,1517.338,1789.856,2067.964,1792.179,1018.245581,1304.251109,1482.853815,1079.654462,713.2600513,1792.179,713.2600513,2.512658597,713.2635,-51.0047
1,AAXN,Axon Enterprise Inc,NASDAQ,Industrials,3489,157.004,150.888,167.444,467.324,543.495,927.479897,1267.312189,1402.188379,2572.973463,4348.505915,543.495,4348.505915,0.124984307,4348.506,69.77225
1,ABBV,Abbvie Inc,NYSE,Healthcare,2834,3945,4636,5097,-8446,-8172,96842.40736,101763.7001,154390.7202,138673.7032,130938.9431,-8172,130938.9431,-0.062410768,130934.8,-6.937516
1,ABC,Amerisourcebergen Corp,NYSE,Healthcare,5122,2129.404,2064.461,2932.824,2878.917,-1018.924,21326.19252,17209.63511,20024.29392,15793.00622,17507.50425,2954.626,17507.50425,0.168763403,17507.5,-1.113605
1,ABCB,Ameris Bancorp,NASDAQ,Financials,6022,514.759,646.437,804.479,1456.347,2469.582,1094.346017,1522.510866,1794.536562,1504.353915,2963.376941,2469.582,2963.376941,0.833367489,2963.379,1.914549
1,ABG,Asbury Automotive Group Inc,NYSE,Consumer Cyclicals,5511,314.5,279.7,394.2,473.2,646.3,1711.769161,1367.173959,1332.332928,1306.642456,2162.945227,646.3,2162.945227,0.298805532,2162.913,60.35879
1,ABM,ABM Industries Inc,NYSE,Industrials,7349,1007.5,974,1375.7,1454.6,1542,1596.36705,2268.895564,2471.198679,2120.206571,2511.080881,1542,2511.080881,0.614078189,2504.547,19.91793
1,ABMD,ABIOMED Inc,NASDAQ,Healthcare,3841,368.775,452.071,689.524,936.89,1065.466,3831.244319,4888.170291,8286.547734,14645.66825,7695.798523,1046.863,7695.798523,0.136030458,7702.991,-41.03042
1,ABT,Abbott Laboratories,NYSE,Healthcare,3841,21211,20538,30897,30524,31088,66993.1403,56551.40878,99336.08121,127035.5682,153608.0625,31088,153608.0625,0.20238521,153516.2,15.395
1,ABTX,Allegiance Bancshares Inc,NASDAQ,Financials,6022,258.49,279.817,306.865,702.984,709.865,303.0270953,466.5182082,496.2851316,706.5417056,782.4786728,709.865,782.4786728,0.907200445,782.4787,-5.404693
1,ACA,Arcosa Inc,NYSE,Industrials,4939,0,1341.8,1407.9,1684.5,1790.4,0,0,0,1351.272,2155.782252,1790.4,2155.782252,0.830510595,2155.774,43.41624
1,ACC,American Campus Communities Inc,NYSE,Real Estate,6798,2770.196,3444.985,3484.985,3481.051,3294.676,4643.696941,6574.604757,5597.579541,5671.733288,6462.145487,3294.676,6462.145487,0.509842437,6462.146,9.605289
1,ACHC,Acadia Healthcare Company Inc,NASDAQ,Healthcare,8059,1683.028,2167.724,2572.871,2333.307,2505.381,4477.660899,2896.272541,2866.662935,2269.064717,2942.28168,2505.381,2942.28168,0.851509567,2942.295,-5.328232
1,ACIW,ACI Worldwide Inc,NASDAQ,Technology,7372,654.4,754.917,764.597,1048.231,1129.968,2530.740246,2128.799434,2688.191008,3209.156777,4379.454666,1129.968,4379.454666,0.258015686,4379.468,29.84764
1,ACLS,Axcelis Technologies Inc,NASDAQ,Technology,3559,183.764,201.455,353.61,408.337,419.427,299.6941214,427.3064661,901.5579216,576.9362166,781.1873442,419.427,781.1873442,0.53690962,781.184,7.630527
