Month,Ticker,Company_name,Stock_exchange,Industry,SIC_Code,ESG_Rating,ESG_Score
1,A,Agilent Technologies Inc,NYSE,Healthcare,3826,AAA,8.8
1,AAL,American Airlines Group Inc,NASDAQ,Industrials,4512,CCC,0.7
1,AAON,Aaon Inc,NASDAQ,Industrials,3585,A,5.8
1,AAP,Advance Auto Parts Inc,NYSE,Consumer Cyclicals,5531,BBB,4.6
1,AAPL,Apple Inc,NASDAQ,Technology,3663,A,6.4
1,AAT,American Assets Trust Inc,NYSE,Real Estate,6798,BB,3.2
1,AAWW,Atlas Air Worldwide Holdings Inc,NASDAQ,Industrials,4512,B,1.8
1,AAXN,Axon Enterprise Inc,NASDAQ,Industrials,3489,BBB,5.6
1,ABBV,Abbvie Inc,NYSE,Healthcare,2834,A,6.8
1,ABC,Amerisourcebergen Corp,NYSE,Healthcare,5122,BBB,4.6
1,ABCB,Ameris Bancorp,NASDAQ,Financials,6022,BBB,4.6
1,ABG,Asbury Automotive Group Inc,NYSE,Consumer Cyclicals,5511,BBB,4.4
1,ABM,ABM Industries Inc,NYSE,Industrials,7349,A,7.1
1,ABMD,ABIOMED Inc,NASDAQ,Healthcare,3841,A,5.8
1,ABT,Abbott Laboratories,NYSE,Healthcare,3841,BBB,5.5
1,ABTX,Allegiance Bancshares Inc,NASDAQ,Financials,6022,BB,3.3
1,ACA,Arcosa Inc,NYSE,Industrials,4939,BBB,5.4
1,ACC,American Campus Communities Inc,NYSE,Real Estate,6798,BBB,5.1
1,ACHC,Acadia Healthcare Company Inc,NASDAQ,Healthcare,8059,BBB,4.6
1,ACIW,ACI Worldwide Inc,NASDAQ,Technology,7372,A,7.1
1,ACLS,Axcelis Technologies Inc,NASDAQ,Technology,3559,B,2.6
1,ACM,AECOM,NYSE,Industrials,8711,AA,7.4
1,ACN,Accenture PLC,NYSE,Technology,7379,AAA,10
1,ADBE,Adobe Inc,NASDAQ,Technology,7372,AA,8.2
1,ADC,Agree Realty Corp,NYSE,Real Estate,6512,BB,3
1,ADI,Analog Devices Inc,NASDAQ,Technology,3674,BBB,4.8
1,ADM,Archer-Daniels-Midland Co,NYSE,Consumer Non-Cyclicals,2075,BBB,4.9
1,ADNT,Adient PLC,NYSE,Consumer Cyclicals,2399,B,1.7
1,ADP,Automatic Data Processing Inc,NASDAQ,Technology,7374,A,6.8
1,ADS,Alliance Data Systems Corp,NYSE,Industrials,7374,BB,3.5
1,ADSK,Autodesk Inc,NASDAQ,Technology,7372,AA,7.9
1,ADTN,ADTRAN Inc,NASDAQ,Technology,3661,A,6.8
1,ADUS,Addus Homecare Corp,NASDAQ,Healthcare,8082,A,6.9
1,AEE,Ameren Corp,NYSE,Utilities,4911,BBB,5.5
1,AEGN,Aegion Corp,NASDAQ,Industrials,1623,A,6.7
1,AEIS,Advanced Energy Industries Inc,NASDAQ,Technology,3629,B,2.6
1,AEL,American Equity Investment Life Holding Co,NYSE,Financials,6311,B,1.9
1,AEO,American Eagle Outfitters Inc,NYSE,Consumer Cyclicals,5651,A,6.9
1,AEP,American Electric Power Company Inc,NASDAQ,Utilities,4911,A,7
1,AES,AES Corp,NYSE,Utilities,4911,AA,7.2
1,AFG,American Financial Group Inc,NYSE,Financials,6331,BB,3.3
1,AFL,Aflac Inc,NYSE,Financials,6311,BB,4.2
1,AGCO,AGCO Corp,NYSE,Industrials,3523,BBB,4.9
1,AGO,Assured Guaranty Ltd,NYSE,Financials,6351,B,2.1
1,AGYS,Agilysys Inc,NASDAQ,Technology,7373,B,2.6
1,AHH,Armada Hoffler Properties Inc,NYSE,Real Estate,6798,BB,3.8
1,AIG,American International Group Inc,NYSE,Financials,6399,BB,3.3
1,AIN,Albany International Corp,NYSE,Industrials,2397,BB,4.2
1,AIR,AAR Corp,NYSE,Industrials,3724,BBB,5.6
1,AIT,Applied Industrial Technologies Inc,NYSE,Industrials,5085,BB,3.5
1,AIV,Apartment Investment and Management Co,NYSE,Real Estate,6798,B,2.4
1,AIZ,Assurant Inc,NYSE,Financials,6399,BB,3.5
1,AJG,Arthur J Gallagher & Co,NYSE,Financials,6411,BBB,5.1
1,AJRD,Aerojet Rocketdyne Holdings Inc,NYSE,Industrials,3812,A,6.3
