,Symbol,Month,Size,Mom,Industry_Adjusted_BMR_Quarterly,Size_G,BMR_G,Mom_G,Benchmark,Monthly_Return,Portfoio_Return,Abnormal_Return,ESG_Rating,ESG_Score,ESG_G,ESG_Group
0,A,1,26461.7,11.6,-0.12846223990879566,5,3.0,2.0,5.3199999999999985,-3.2,-0.7916666666666669,-2.408333333333333,AAA,8.8,5,Leader
1,AVB,1,29287.1,12.5,-0.21095508451876935,5,3.0,2.0,5.3199999999999985,3.3,-0.7916666666666669,4.091666666666667,BBB,5.1,3,Average
2,ECL,1,55628.3,16.3,-0.17008223760311572,5,3.0,2.0,5.3199999999999985,1.6,-0.7916666666666669,2.391666666666667,AAA,10.0,5,Leader
3,ICE,1,51536.5,15.2,-0.17135274479625598,5,3.0,2.0,5.3199999999999985,7.8,-0.7916666666666669,8.591666666666667,BBB,5.7,4,Average
4,IQV,1,29980.8,16.7,-0.12486414262297113,5,3.0,2.0,5.3199999999999985,0.5,-0.7916666666666669,1.291666666666667,A,5.8,4,Average
5,ISRG,1,68321.6,11.7,-0.19071508381939106,5,3.0,2.0,5.3199999999999985,-5.3,-0.7916666666666669,-4.508333333333333,B,2.7,1,Laggard
6,MKC,1,22571.7,12.8,-0.19085526463293026,5,3.0,2.0,5.3199999999999985,-3.7,-0.7916666666666669,-2.908333333333333,A,6.0,4,Average
7,ORCL,1,169941.2,15.1,-0.2087497705336757,5,3.0,2.0,5.3199999999999985,-1.0,-0.7916666666666669,-0.20833333333333315,BBB,4.7,3,Average
8,PH,1,26440.7,15.5,-0.15138506008114366,5,3.0,2.0,5.3199999999999985,-4.9,-0.7916666666666669,-4.108333333333333,A,6.1,4,Average
9,SCHW,1,61094.6,10.5,-0.1496049919907666,5,3.0,2.0,5.3199999999999985,-4.2,-0.7916666666666669,-3.408333333333333,BB,4.2,3,Average
10,SYK,1,78601.5,16.8,-0.14871986836026627,5,3.0,2.0,5.3199999999999985,0.4,-0.7916666666666669,1.1916666666666669,B,2.4,1,Laggard
11,UNP,1,125504.4,14.4,-0.17830148612632132,5,3.0,2.0,5.3199999999999985,-0.8,-0.7916666666666669,-0.008333333333333193,BBB,5.2,4,Average
12,AAL,1,12280.8,-28.4,-0.62749669977532,4,1.0,1.0,4.1099999999999985,-6.4,-4.974999999999999,-1.4250000000000016,CCC,0.7,1,Laggard
13,ABC,1,17507.5,-1.1,-0.2982943796433204,4,1.0,1.0,4.1099999999999985,0.6,-4.974999999999999,5.574999999999998,BBB,4.6,3,Average
14,APA,1,9622.8,-36.6,-0.4007499258194189,4,1.0,1.0,4.1099999999999985,7.2,-4.974999999999999,12.174999999999999,BBB,4.9,3,Average
15,COG,1,6927.9,-36.6,-0.4360674103035221,4,1.0,1.0,4.1099999999999985,-19.1,-4.974999999999999,-14.125000000000004,B,2.3,1,Laggard
16,FRT,1,9800.5,0.0,-0.3254702808165129,4,1.0,1.0,4.1099999999999985,-2.9,-4.974999999999999,2.074999999999999,BBB,4.3,3,Average
17,JWN,1,6354.5,-27.8,-0.2725118192854593,4,1.0,1.0,4.1099999999999985,-9.9,-4.974999999999999,-4.925000000000002,A,6.9,5,Leader
18,MOH,1,8412.8,-3.0,-0.6662024677039882,4,1.0,1.0,4.1099999999999985,-9.4,-4.974999999999999,-4.425000000000002,BB,4.0,2,Average
19,NTAP,1,14207.1,-9.4,-0.3537566636376191,4,1.0,1.0,4.1099999999999985,-14.2,-4.974999999999999,-9.225000000000001,BB,4.0,2,Average
20,SIVB,1,12945.6,-9.1,-0.26379364747468803,4,1.0,1.0,4.1099999999999985,-4.3,-4.974999999999999,0.6749999999999989,A,7.1,5,Leader
21,TSCO,1,11062.0,-0.7,-0.32539121242267033,4,1.0,1.0,4.1099999999999985,-0.5,-4.974999999999999,4.474999999999999,A,5.9,4,Average
22,UAA,1,9199.9,-20.9,-0.4160749503945102,4,1.0,1.0,4.1099999999999985,-6.6,-4.974999999999999,-1.6250000000000009,BBB,5.6,4,Average
23,ULTA,1,14469.8,-21.5,-0.2982560516195151,4,1.0,1.0,4.1099999999999985,5.8,-4.974999999999999,10.774999999999999,BB,3.3,2,Average
24,ATNI,1,886.1,-33.6,0.3008028875446772,1,4.0,1.0,1.41,4.5,-10.766666666666666,15.266666666666666,B,1.5,1,Laggard
25,BGS,1,1148.3,-45.4,0.3641472046467446,1,4.0,1.0,1.41,-10.4,-10.766666666666666,0.36666666666666536,BB,3.7,2,Average
26,BIG,1,1121.3,-52.0,0.4723425496610962,1,4.0,1.0,1.41,-5.8,-10.766666666666666,4.966666666666666,BBB,5.6,4,Average
27,DBI,1,1129.3,-40.5,0.2315018011881184,1,4.0,1.0,1.41,-9.5,-10.766666666666666,1.2666666666666657,BBB,4.9,3,Average
28,OSUR,1,495.7,-36.2,0.3080087344520948,1,4.0,1.0,1.41,-12.2,-10.766666666666666,-1.4333333333333336,A,7.0,5,Leader
29,SXC,1,540.5,-47.5,0.2681096876238772,1,4.0,1.0,1.41,-5.6,-10.766666666666666,5.166666666666666,BB,4.1,3,Average
30,AAON,1,2574.2,30.1,-0.27872978494661765,2,1.0,4.0,2.14,6.1,-0.19166666666666698,6.291666666666667,A,5.8,4,Average
31,AHH,1,1423.1,18.7,-0.298666674221563,2,1.0,4.0,2.14,-0.1,-0.19166666666666698,0.09166666666666698,BB,3.8,2,Average
32,AIN,1,2469.6,15.6,-0.3649368049383951,2,1.0,4.0,2.14,-8.1,-0.19166666666666698,-7.908333333333332,BB,4.2,3,Average
33,COKE,1,2662.5,27.1,-0.17240783099471507,2,1.0,4.0,2.14,-4.7,-0.19166666666666698,-4.508333333333333,B,1.6,1,Laggard
34,CWT,1,2482.4,12.4,-0.21950328663126126,2,1.0,4.0,2.14,1.9,-0.19166666666666698,2.091666666666667,BB,3.2,2,Average
35,EVTC,1,2448.4,18.6,-0.19131094270301707,2,1.0,4.0,2.14,-1.4,-0.19166666666666698,-1.208333333333333,B,1.5,1,Laggard
36,HALO,1,2423.7,17.4,-0.2908919695551161,2,1.0,4.0,2.14,7.1,-0.19166666666666698,7.291666666666667,BBB,4.4,3,Average
37,SNBR,1,1376.8,25.9,-0.318554415196814,2,1.0,4.0,2.14,4.8,-0.19166666666666698,4.991666666666667,BBB,4.6,3,Average
38,TRUP,1,1309.1,13.9,-0.7921132585616156,2,1.0,4.0,2.14,-14.8,-0.19166666666666698,-14.608333333333334,B,2.8,1,Laggard
39,VC,1,2421.5,26.7,-0.16196809030481915,2,1.0,4.0,2.14,-7.8,-0.19166666666666698,-7.6083333333333325,BBB,5.2,4,Average
40,VICR,1,1887.7,14.7,-0.3087140151420648,2,1.0,4.0,2.14,7.1,-0.19166666666666698,7.291666666666667,BB,3.1,2,Average
41,WING,1,2539.7,21.9,-0.6686400224259901,2,1.0,4.0,2.14,7.6,-0.19166666666666698,7.791666666666667,BB,3.9,2,Average
42,AAP,1,11092.6,-11.6,-0.055731802759473086,4,3.0,1.0,4.31,-17.7,-4.841666666666667,-12.858333333333333,BBB,4.6,3,Average
43,ANET,1,15539.6,-18.2,-0.11404984106810193,4,3.0,1.0,4.31,9.8,-4.841666666666667,14.641666666666667,BBB,5.2,4,Average
44,CFR,1,6117.6,-6.7,-0.12334530416305226,4,3.0,1.0,4.31,-8.8,-4.841666666666667,-3.958333333333334,A,6.2,4,Average
45,EHC,1,6830.0,-6.0,-0.10306338599710003,4,3.0,1.0,4.31,11.2,-4.841666666666667,16.041666666666664,A,6.9,5,Leader
46,EXPE,1,15668.0,-15.8,-0.07935966687929047,4,3.0,1.0,4.31,0.3,-4.841666666666667,5.141666666666667,BBB,5.1,3,Average
47,FFIV,1,8489.9,-15.3,-0.07306234138552628,4,3.0,1.0,4.31,-12.6,-4.841666666666667,-7.758333333333333,BBB,4.8,3,Average
48,IRM,1,9151.2,-5.4,-0.1403548840059867,4,3.0,1.0,4.31,-0.8,-4.841666666666667,4.041666666666667,AA,7.9,5,Leader
49,LEA,1,8296.5,-11.7,-0.12550186237601213,4,3.0,1.0,4.31,-10.2,-4.841666666666667,-5.3583333333333325,CCC,1.3,1,Laggard
50,NUE,1,17064.9,-6.7,-0.061357633271110774,4,3.0,1.0,4.31,-15.6,-4.841666666666667,-10.758333333333333,BBB,5.6,4,Average
51,RHI,1,7424.0,-5.9,-0.1443331207929303,4,3.0,1.0,4.31,-7.9,-4.841666666666667,-3.0583333333333336,AA,8.2,5,Leader
