Month,Ticker,ESG_Rating,ESG_Score
1,A,A,86.80727331
1,AAL,B+,66.73493441
1,AAOI,C-,25.38183441
1,AAON,D+,22.00772005
1,AAP,C+,44.13425365
1,AAPL,B+,70.53872491
1,AAT,B-,52.60725796
1,AAWW,D+,22.01789269
1,AAXN,D+,19.67682473
1,ABBV,B+,74.87134805
1,ABC,B,61.81974701
1,ABCB,C-,32.88673356
1,ABG,C,37.81005471
1,ABM,B+,67.96579273
1,ABMD,D+,22.65702278
1,ABT,A-,82.95304207
1,ABTX,C-,27.66774704
1,ACA,C-,31.94290917
1,ACC,C,35.13953445
1,ACHC,B-,52.4705831
1,ACIW,B-,53.75127469
1,ACLS,C+,48.83812
1,ACM,C+,48.11016695
1,ACN,B+,74.02801057
1,ADBE,B+,68.18796934
1,ADC,C+,45.31441068
1,ADI,A-,76.98432821
1,ADM,A-,81.47042168
1,ADNT,C,35.39394864
1,ADP,B,74.64170564
1,ADS,B+,69.49056468
1,ADSK,A-,76.79918057
1,ADTN,B-,52.76361283
1,ADUS,D+,18.4327751
1,AEE,C+,45.9171691
1,AEGN,D+,20.88687229
1,AEIS,C+,45.75207427
1,AEL,C+,45.85814713
1,AEO,B,61.38758749
1,AEP,B,59.67020755
1,AES,B+,66.70589387
1,AFG,C-,30.79614451
1,AFL,B,58.37964014
1,AGCO,C+,49.21454246
1,AGO,B,64.0151172
1,AGYS,C-,32.36270493
1,AHH,B-,50.90485752
1,AIG,B,62.92139206
1,AIN,C,34.07831468
1,AIR,D+,29.6975134
1,AIT,C-,29.83032644
1,AIV,C+,49.87924811
1,AIZ,B,62.57152184
1,AJG,B-,58.15573876
1,AJRD,D+,20.18385128
1,AKAM,C+,44.7894258
1,AKR,B+,67.51011253
1,ALB,B,66.27854218
1,ALE,C,39.75153215
1,ALEX,B-,52.77879863
1,ALG,D+,24.42906515
1,ALGN,C,34.77745323
1,ALGT,D,16.00256403
1,ALK,B-,54.30595217
1,ALL,A-,77.07880687
1,ALLE,B-,57.57074297
1,ALRM,C,37.02201776
1,ALXN,B-,55.88036659
1,AM,D,16.32597124
1,AMAT,A-,80.54621209
1,AMBC,C,39.80752645
1,AMCX,D,11.26096421
1,AMD,B+,67.46200713
1,AME,C,36.24965451
1,AMED,C,35.41019218
1,AMG,B-,50.93402452
1,AMGN,B+,71.79491816
1,AMN,A-,79.5835923
1,AMP,B+,66.90179071
1,AMPH,C,33.93998436
1,AMSF,C+,42.76909849
1,AMT,B+,69.49499366
1,AMWD,D+,22.85657188
1,AMZN,A,88.75160507
1,AN,B-,51.14164137
1,ANDE,C-,25.87325246
1,ANET,C+,49.61783307
1,ANF,B+,68.8532814
1,ANGO,C,39.02357948
1,ANIK,C,37.85432244
1,ANIP,C-,25.35559414
1,ANSS,B-,57.17334097
1,ANTM,A,83.42070658
1,AON,B-,51.02353333
1,AOS,C,40.23672683
1,APA,B,60.85584896
1,APD,A,86.364762
1,APEI,C-,33.28433058
1,APH,B+,69.36924319
1,APOG,C,38.82855929
1,APTV,B,61.4379195
1,ARCB,C,39.25297912
1,ARE,B+,68.99632815
1,ARI,C,37.67435094
1,ARLO,C+,47.44549148
1,AROC,C-,32.00071971
1,ARR,D+,17.9743962
1,ARW,C+,48.47299101
1,ARWR,D+,16.88993253
1,ASB,C+,49.56220333
1,ASGN,C,37.19655269
1,ASH,B+,69.17615782
1,ASIX,B-,53.29281222
1,ASTE,C,39.85241521
1,ATGE,B-,54.995419
1,ATI,C+,48.05594974
1,ATNI,D+,19.92036039
1,ATO,C-,28.7473611
1,ATR,B,62.4256138
1,ATVI,B,61.6655393
1,AVA,C,35.65702585
1,AVAV,C,38.40027421
1,AVB,A-,78.46756811
1,AVD,D+,22.07783752
1,AVGO,C+,48.21514006
1,AVNS,B-,56.49356507
1,AVNT,C-,32.9636303
1,AVT,C+,49.6813136
1,AVY,B-,54.79202347
1,AWK,B,61.07816038
1,AWR,C+,47.89755037
1,AX,C-,27.18379888
1,AXL,B,63.29424575
1,AXP,A-,77.92499493
1,AYI,C,40.99309341
1,AZO,B,60.47969225
1,AZZ,C,41.19557931
1,B,C,37.58753408
1,BA,A-,79.45166593
1,BAC,A-,80.04704691
1,BANC,C,35.73436458
1,BANF,D,15.97558006
1,BANR,C,36.39440186
1,BAX,B+,74.40292013
1,BBBY,B-,56.55909231
1,BBY,B,61.90291801
1,BC,B+,73.66530518
1,BCC,C,35.60248817
1,BCEI,D+,17.91861444
1,BCO,C-,29.13917279
1,BCOR,C,34.81747336
1,BCPC,C-,33.32741358
1,BDC,C,38.89419944
1,BDN,B-,53.53009153
1,BDX,A-,76.17347754
1,BEAT,C,38.89731983
1,BELFB,C,39.69395967
1,BEN,B,58.40410474
1,BF.B,B-,55.94044444
1,BFS,D,12.96667981
1,BGS,C+,42.17716808
1,BHE,C-,33.24014531
1,BHF,D+,18.83965655
1,BHLB,C+,42.53867627
1,BIG,C-,32.57578545
1,BIIB,A-,75.43687718
1,BIO,C,38.11972904
1,BJ,D+,23.47585759
1,BJRI,C+,46.21109766
1,BK,B+,69.63998805
1,BKE,C+,48.8850631
1,BKH,D+,24.49827457
1,BKNG,C+,42.37116998
1,BKR,A-,82.05098651
1,BKU,C+,47.78555733
1,BLD,C,38.41475235
1,BLDR,D+,23.93547936
1,BLK,B+,72.24639839
1,BLKB,C+,42.77462062
1,BLL,B+,73.42734299
1,BLMN,C,37.55995192
1,BMI,C+,48.65368483
1,BMY,B+,74.98774708
1,BNED,C,34.25812388
1,BOH,B-,54.47991439
1,BOOM,C-,26.29794528
1,BOOT,C,34.97069134
1,BPFH,B-,58.24735052
1,BR,C+,45.88327346
1,BRC,C-,33.24076297
1,BRK.B,C,39.42006342
1,BRKL,C-,25.63095188
1,BRKS,C,34.9760455
1,BRO,C-,32.50815034
1,BRX,B+,74.41934544
1,BSIG,C+,43.49772317
1,BSX,A,84.53034577
1,BWA,B-,55.08731053
1,BXP,B+,68.75888301
1,BXS,C,41.50199896
1,BYD,C+,43.51197489
1,C,A,83.80845722
1,CABO,C,35.35005875
1,CACI,B-,53.365626
1,CADE,C,35.1959737
1,CAG,B+,70.31297987
1,CAH,B,36.80879863
1,CAKE,B,61.32462906
1,CAL,C,37.71295544
1,CALM,D,14.30807225
1,CAMP,D+,22.75655437
1,CAR,C,35.75537303
1,CASH,D,10.88785747
1,CASY,C,36.13952968
1,CAT,B+,68.42430292
1,CATM,C,36.13199131
1,CATO,C-,32.26246512
1,CATY,C-,25.88753116
1,CB,B-,52.43016481
1,CBB,C,33.49420482
1,CBOE,C+,46.8040141
1,CBRE,A,85.22043484
1,CBRL,C,33.6501285
1,CBSH,D+,22.45026736
1,CBT,A-,79.124218
1,CBU,C,39.77549336
1,CC,B+,68.2010309
1,CCI,C-,31.85745788
1,CCMP,C+,48.83518268
1,CCOI,D+,22.20996393
1,CCRN,C,38.39839737
1,CCS,C,40.04677144
1,CDAY,C-,25.43018651
1,CDK,B-,54.90185072
1,CDNS,B+,72.61774162
1,CDW,B-,51.17794421
1,CE,C,36.99821268
1,CEIX,B,59.76935645
1,CENT,D,12.28420177
1,CENX,D+,21.90599619
1,CERN,C-,32.5258537
1,CEVA,D+,21.49542021
1,CF,B+,67.54120355
1,CFFN,C-,31.04725287
1,CFG,B,61.7220999
1,CFR,C,37.09779602
1,CFX,C,36.94122944
1,CGNX,C-,27.03555424
1,CHCO,C,35.14304289
1,CHCT,C,36.81938746
1,CHD,B,58.88019001
1,CHDN,D+,24.34031045
1,CHE,C-,30.66088273
1,CHEF,C,33.96025493
1,CHH,B-,53.07164695
1,CHRS,D+,21.10250121
1,CHRW,C-,28.72125274
1,CHS,B-,53.40955695
1,CHTR,D+,23.7083252
1,CHUY,C+,42.65311967
1,CHX,C-,32.83398963
1,CI,B+,69.61764911
1,CIEN,C+,48.31662986
1,CINF,C+,49.50060671
1,CIR,C+,45.48939711
1,CIT,B-,53.27878474
1,CKH,D+,21.55573785
1,CL,A,85.73999732
1,CLB,B,58.36121509
1,CLDT,D+,24.66923629
1,CLF,C+,42.63315446
1,CLGX,C,34.95538088
1,CLH,C,36.99242899
1,CLI,C,40.92278233
1,CLW,B-,51.25249632
1,CLX,B,61.25674318
1,CMA,B+,70.23792805
1,CMC,C+,43.13154868
1,CMCSA,B,65.97536613
1,CMD,C+,46.34738467
1,CME,B,58.64016539
1,CMG,C+,48.80145424
1,CMI,B+,69.82701293
1,CMO,C,37.1125828
1,CMP,B,65.40697077
1,CMS,B-,56.94691239
1,CMTL,D+,20.4948717
1,CNC,C,34.8424726
1,CNK,D+,21.60301625
1,CNMD,B-,55.52537185
1,CNO,B,61.28270393
1,CNP,C+,41.98179752
1,CNSL,C-,31.51467099
