Symbol,Name,MSCI ESG Rtg Overall Company Rating,MSCI ESG Rtg Overall Industry-Adjusted Company Score,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Social,MSCI ESG Rtg Score Governance
A,"Agilent Technologies, Inc.",AAA,8.8,10.0,6.6,5.9
AAL,"American Airlines Group, Inc.",CCC,0.7,3.3,2.5,5.7
AAN,Aaron's Company Inc,@NA,#N/A,#N/A,#N/A,#N/A
AAOI,"Applied Optoelectronics, Inc.",@NA,#N/A,#N/A,#N/A,#N/A
AAON,"AAON, Inc.",A,5.8,5.5,8.4,5.7
AAP,"Advance Auto Parts, Inc.",BBB,4.6,2.0,3.8,6.6
AAPL,Apple Inc.,A,6.4,3.6,5.8,4.8
AAT,"American Assets Trust, Inc.",BB,3.2,6.3,1.4,5.9
AAWW,"Atlas Air Worldwide Holdings, Inc.",B,1.8,1.4,6.7,6.6
ABBV,"AbbVie, Inc.",A,6.8,4.9,5.0,5.6
ABC,AmerisourceBergen Corporation,BBB,4.6,8.7,2.8,4.6
ABCB,Ameris Bancorp,BBB,4.6,1.2,4.0,6.6
ABG,"Asbury Automotive Group, Inc.",BBB,4.4,1.5,4.4,7.1
ABM,ABM Industries Incorporated,A,7.1,9.0,6.0,7.3
ABMD,"ABIOMED, Inc.",A,5.8,6.3,6.7,4.0
ABT,Abbott Laboratories,BBB,5.5,10.0,4.1,5.0
ABTX,"Allegiance Bancshares, Inc.",BB,3.3,1.2,3.7,6.4
ACA,"Arcosa, Inc.",BBB,5.4,4.2,2.3,4.8
ACC,"American Campus Communities, Inc.",BBB,5.1,5.3,3.6,6.7
ACHC,"Acadia Healthcare Company, Inc.",BBB,4.6,6.5,4.2,4.3
ACIW,"ACI Worldwide, Inc.",A,7.1,3.8,5.0,7.6
ACLS,"Axcelis Technologies, Inc.",B,2.6,2.3,6.1,4.7
ACM,AECOM,AA,7.4,4.8,4.7,5.1
ACN,Accenture Plc Class A,AAA,10.0,6.9,6.1,7.2
ADBE,Adobe Inc.,AA,8.2,3.8,6.9,5.3
ADC,Agree Realty Corporation,BB,3.0,4.3,4.6,5.0
ADI,"Analog Devices, Inc.",BBB,4.8,5.6,6.0,4.3
ADM,Archer-Daniels-Midland Company,BBB,4.9,4.8,3.8,5.2
ADNT,Adient plc,B,1.7,2.1,2.8,7.3
ADP,"Automatic Data Processing, Inc.",A,6.8,10.0,3.7,6.4
ADS,Alliance Data Systems Corporation,BB,3.5,10.0,2.3,5.9
ADSK,"Autodesk, Inc.",AA,7.9,4.8,5.6,6.7
ADTN,"ADTRAN, Inc.",A,6.8,2.5,5.4,6.6
ADUS,Addus HomeCare Corporation,A,6.9,5.1,5.8,4.4
AEE,Ameren Corporation,BBB,5.5,5.2,4.7,6.8
AEGN,Aegion Corporation,A,6.7,6.3,3.6,4.5
AEIS,"Advanced Energy Industries, Inc.",B,2.6,4.8,3.7,5.0
AEL,American Equity Investment Life Holding Company,B,1.9,4.7,3.2,4.6
AEO,"American Eagle Outfitters, Inc.",A,6.9,4.2,5.5,4.4
AEP,"American Electric Power Company, Inc.",A,7.0,6.0,5.8,6.6
AES,AES Corporation,AA,7.2,6.2,6.7,6.6
AFG,"American Financial Group, Inc.",BB,3.3,4.6,4.2,5.5
AFL,Aflac Incorporated,BB,4.2,3.6,4.3,5.5
AGCO,AGCO Corporation,BBB,4.9,5.4,4.9,4.5
AGO,Assured Guaranty Ltd.,B,2.1,5.7,1.9,5.7
AGYS,"Agilysys, Inc.",B,2.6,3.1,2.6,7.1
AHH,"Armada Hoffler Properties, Inc.",BB,3.8,5.4,4.3,5.4
AIG,"American International Group, Inc.",BB,3.3,3.7,4.1,5.1
AIN,Albany International Corp. Class A,BB,4.2,4.0,5.2,5.1
AIR,AAR CORP.,BBB,5.6,2.4,5.6,4.7
AIRC,Apartment Income REIT Corp,@NA,#N/A,#N/A,#N/A,#N/A
AIT,"Applied Industrial Technologies, Inc.",BB,3.5,2.3,5.0,6.7
AIZ,"Assurant, Inc.",BB,3.5,6.0,3.9,5.9
AJG,Arthur J. Gallagher & Co.,BBB,5.1,8.3,5.3,4.9
AJRD,"Aerojet Rocketdyne Holdings, Inc.",A,6.3,3.3,4.9,4.7
AKAM,"Akamai Technologies, Inc.",BBB,5.0,9.1,3.6,6.1
AKR,Acadia Realty Trust,B,2.2,4.4,4.5,3.9
ALB,Albemarle Corporation,BB,3.3,3.5,2.7,6.5
ALE,"ALLETE, Inc.",BB,4.0,4.7,1.7,7.1
ALEX,"Alexander & Baldwin, Inc.",BBB,5.7,5.6,7.3,3.5
ALG,Alamo Group Inc.,BBB,5.7,3.2,5.5,6.9
ALGN,"Align Technology, Inc.",A,6.1,6.4,5.6,4.9
ALGT,Allegiant Travel Company,BB,4.1,0.0,5.7,6.8
ALK,"Alaska Air Group, Inc.",@NA,#N/A,#N/A,#N/A,#N/A
ALL,Allstate Corporation,BBB,5.6,2.5,4.4,6.5
ALLE,Allegion PLC,AA,7.3,5.4,8.5,7.7
ALRM,"Alarm.com Holdings, Inc.",B,2.6,3.5,2.9,5.7
ALXN,"Alexion Pharmaceuticals, Inc.",B,2.0,5.2,3.0,4.8
AM,Antero Midstream Corp.,BB,4.2,4.5,5.3,4.5
AMAT,"Applied Materials, Inc.",AA,8.4,3.5,8.2,7.0
AMBC,"Ambac Financial Group, Inc.",B,2.6,6.4,2.2,5.3
AMCR,Amcor PLC,AA,8.0,6.6,2.9,8.2
AMCX,AMC Networks Inc. Class A,B,1.6,6.7,4.4,2.6
AMD,"Advanced Micro Devices, Inc.",BBB,4.5,3.8,5.9,5.4
AME,"AMETEK, Inc.",B,2.8,4.1,3.6,5.4
AMED,"Amedisys, Inc.",A,6.3,5.5,5.8,4.4
AMG,"Affiliated Managers Group, Inc.",BBB,5.6,10.0,4.3,6.4
AMGN,Amgen Inc.,AA,8.4,7.5,5.1,5.9
AMN,"AMN Healthcare Services, Inc.",AA,8.0,7.2,6.5,5.0
AMP,"Ameriprise Financial, Inc.",BBB,5.6,8.7,4.6,6.0
AMPH,Amphastar Pharmaceuticals Inc,BB,3.3,4.9,3.9,2.7
AMSF,"AMERISAFE, Inc.",B,2.1,2.8,1.8,7.5
AMT,American Tower Corporation,A,6.4,10.0,7.5,4.0
AMWD,American Woodmark Corporation,BB,3.3,5.3,3.6,4.6
AMZN,"Amazon.com, Inc.",BB,4.1,2.0,3.2,7.3
AN,"AutoNation, Inc.",BBB,5.4,2.0,4.0,6.5
ANDE,"Andersons, Inc.",BB,4.2,0.1,4.3,5.8
ANET,"Arista Networks, Inc.",BBB,5.2,3.3,5.6,4.2
ANF,Abercrombie & Fitch Co. Class A,B,2.3,3.6,2.5,7.1
ANGO,"AngioDynamics, Inc.",BBB,5.2,6.3,6.1,4.1
ANIK,"Anika Therapeutics, Inc.",BB,4.0,6.7,4.5,4.3
ANIP,"ANI Pharmaceuticals, Inc.",BB,3.6,4.9,3.5,3.6
ANSS,"ANSYS, Inc.",A,6.2,5.0,4.2,7.2
ANTM,"Anthem, Inc.",BB,4.0,10.0,2.9,5.7
AON,Aon Plc Class A,BB,4.0,7.9,4.6,4.7
AOS,A. O. Smith Corporation,BB,3.9,6.5,4.4,3.0
APA,Apache Corporation,BBB,4.9,3.3,5.0,5.0
APD,"Air Products and Chemicals, Inc.",BBB,4.7,3.6,10.0,6.5
APEI,"American Public Education, Inc.",A,6.2,6.5,4.0,7.4
APH,Amphenol Corporation Class A,BBB,5.2,4.3,4.4,5.8
APOG,"Apogee Enterprises, Inc.",BB,4.2,4.3,5.8,7.1
