"Symbol","Name","Stock Exchange","RBICS Economy","Market Value","Sales","Price Chg (USD)_1501","Price Chg (USD)_1502","Price Chg (USD)_1503","Price Chg (USD)_1504","Price Chg (USD)_1505","Price Chg (USD)_1506","Price Chg (USD)_1507","Price Chg (USD)_1508","Price Chg (USD)_1509","Price Chg (USD)_1510","Price Chg (USD)_1511","Price Chg (USD)_1512","Price Chg (USD)_1601","Price Chg (USD)_1602","Price Chg (USD)_1603","Price Chg (USD)_1604","Price Chg (USD)_1605","Price Chg (USD)_1606","Price Chg (USD)_1607","Price Chg (USD)_1608","Price Chg (USD)_1609","Price Chg (USD)_1610","Price Chg (USD)_1611","Price Chg (USD)_1612","Price Chg (USD)_1701","Price Chg (USD)_1702","Price Chg (USD)_1703","Price Chg (USD)_1704","Price Chg (USD)_1705","Price Chg (USD)_1706","Price Chg (USD)_1707","Price Chg (USD)_1708","Price Chg (USD)_1709","Price Chg (USD)_1710","Price Chg (USD)_1711","Price Chg (USD)_1712","Price Chg (USD)_1801","Price Chg (USD)_1802","Price Chg (USD)_1803","Price Chg (USD)_1804","Price Chg (USD)_1805","Price Chg (USD)_1806","Price Chg (USD)_1807","Price Chg (USD)_1808","Price Chg (USD)_1809","Price Chg (USD)_1810","Price Chg (USD)_1811","Price Chg (USD)_1812","Price Chg (USD)_1901","Price Chg (USD)_1902","Price Chg (USD)_1903","Price Chg (USD)_1904","Price Chg (USD)_1905","Price Chg (USD)_1906","Price Chg (USD)_1907","Price Chg (USD)_1908","Price Chg (USD)_1909","Price Chg (USD)_1910","Price Chg (USD)_1911","Price Chg (USD)_1912","Price Chg (USD)_2001","Price Chg (USD)_2002","Price Chg (USD)_2003","Price Chg (USD)_2004","Price Chg (USD)_2005","Price Chg (USD)_2006","Price Chg (USD)_2007","Price Chg (USD)_2008","Price Chg (USD)_2009","Price Chg (USD)_2010","Price Chg (USD)_2011","Price Chg (USD)_2012"
"A","Agilent Technologies, Inc.","NYSE","Healthcare",35996.52,5339,-7.743037,11.75536,-1.563609,-0.04832149,-1.53001,-5.718464,4.304647,-11.33089,-1.208627,11.91463,10.75212,1.826596,-9.949774,-0.9020984,3.265095,1.513267,12.14565,-3.460282,7.869959,-1.8592,0.2128124,-7.475048,1.126695,5.438566,7.484639,4.141295,1.594925,4.123318,8.136201,-2.338213,0.8093119,7.974648,-0.2795875,5.965734,1.793587,-2.504003,9.646106,-5.821782,-0.7123709,-1.733935,-6.521738,-1.497293,6.791723,3.939664,4.44181,-9.079427,10.93222,-6.758809,12.73348,4.471338,-1.05859,-3.751838,-13.45037,11.36465,-8.405906,2.745271,7.762611,1.215935,4.936981,5.620897,-3.223538,-6.649709,-7.071489,11.23042,18.77105,-1.712823,9.329247,4.245818,-0.1780093,0.8595109,14.50682,1.690364
"AAL","American Airlines Group, Inc.","NASDAQ","Industrials",9474.282,24622,-8.484054,-2.404237,10.18789,-4.272401,-14.21341,-9.608418,3.350508,-2.793014,-0.9438753,17.90817,-10.73129,-2.103561,-7.933879,4.113758,-1.960325,-12.22166,-8.013832,-11.39281,21.03648,1.966298,1.020968,10.89865,16.68341,2.054644,-5.225956,5.24404,-10.17202,0.7565022,15.04277,2.58919,0.2384663,-12.3776,4.811299,-1.41083,5.539298,6.183672,4.401314,0.6867051,-2.842182,-17.37875,0.4151344,-13.72728,4.162276,6.135297,2.099812,-11.4365,10.42068,-20.04482,11.39832,-1.329273,-8.314085,5.656886,-19.6992,19.75763,-7.208032,-11.82976,2.508557,12.16418,-5.9555,-0.2087653,-6.415624,-29.02385,-36.0105,12.348,-1.31579,17.64177,-13.19282,17.35612,-6.183207,-10.33387,25.26596,9.74071
"AAOI","Applied Optoelectronics, Inc.","NASDAQ","Technology",201.5017,230.956,-20.32086,39.59732,11.21795,6.329107,31.22705,-2.745098,7.636976,5.964005,-4.524654,14.30155,-9.068871,-8.868826,-4.603725,12.64871,-18.65794,-25.53192,-5.803567,6.494737,5.525851,39.25619,29.57993,-13.41738,29.34727,0.1923442,31.22866,48.46426,19.8506,-12.03918,39.27787,-11.74118,57.77633,-40.64853,9.647333,-37.00324,12.03489,-12.81697,-14.35748,-16.60197,-9.920919,27.53391,48.33492,-0.266546,-14.4098,10.58823,-40.37717,-18.20834,2.234364,-25.06071,12.63771,-21.92019,-7.854986,-0.6349206,-29.42136,18.70669,-1.669943,-10.37261,26.06742,-8.504396,11.80774,11.02804,-4.882157,-20.97345,-15.0056,46.44809,-12.66073,18.79782,39.45044,-18.15623,-3.640258,-21.74689,-5.353069,7.607377
"AAON","AAON, Inc.","NASDAQ","Industrials",3420.812,520.425,-2.590442,3.209543,8.973789,0.5452991,-1.987576,-5.497271,-2.888399,-6.804866,-2.170622,6.670129,20.71323,-4.483753,-7.278204,17.03633,9.76088,-5.957448,3.469086,-1.890159,-2.790016,6.913483,0.6988049,3.920889,13.25302,1.070333,2.723145,-0.7374644,0.1416445,3.677523,-3.404546,0.2721071,-8.276796,-3.97644,5.267167,1.522851,5.959296,0.9628654,-0.817436,1.659751,10.0141,-12.82051,-11.07872,7.085347,13.53383,7.733333,-6.435651,-5.558592,-0.7064402,-7.61528,5.362225,9.08593,11.92439,8.048201,-8.983356,10.55299,2.15162,-7.500964,-4.231816,6.29096,0.5294204,0.08102655,6.132364,4.900837,-12.16142,1.621151,19.2909,0.03685951,12.45018,-3.915614,5.442774,-3.518337,11.50488,1.930273
"AAP","Advance Auto Parts, Inc.","NYSE","Consumer Cyclicals",10902.87,9853.804,-0.175792,-2.559751,-3.382164,-0.5217373,5.42177,3.893805,7.107294,0.5969763,9.796083,3.327429,-17.99123,-7.287174,1.023197,-4.164243,4.558194,-2.692926,-1.447797,5.406296,3.365183,-6.599402,-6.072056,-6.062227,21.41069,-0.9604096,-2.88552,-2.478361,-5.374008,-4.127878,-4.90998,-14.95989,-3.928292,-14.16045,1.162553,-17.60081,25.0774,0.4129767,17.3538,-2.591866,0.8850336,-3.458464,11.28222,5.734766,4.07517,17.37388,2.621472,-5.801892,8.684492,-11.39497,1.105034,1.722836,6.169844,-4.210103,-5.389732,-0.5548418,-3.799731,-8.002668,19.89851,-2.875245,-4.696035,1.96079,-17.73852,0.9335876,-29.82403,35.59494,19.49568,1.902854,5.769634,4.109502,-1.847947,-4.888606,0.2851725,5.287981
"AAPL","Apple Inc.","NASDAQ","Technology",2243728,274150,6.142426,9.644938,-3.137165,0.7243514,1.031411,-3.91466,-4.18641,-7.040393,2.395105,9.052742,-1.004183,-10.29487,-7.524234,0.2696276,8.415401,-14.77407,6.528699,-2.904731,8.676613,0.04714727,5.921483,0.4334331,-0.8700371,5.781353,4.774654,6.400001,2.768445,-0.006967783,4.216123,-5.979884,3.270376,9.296894,-6.053037,9.680772,2.972019,-1.06402,-1.063645,6.162834,-4.125714,-1.501971,10.50857,-2.696598,2.798331,12.96774,-0.8302927,-3.696203,-19.6382,-11.66984,5.515409,3.981495,8.561468,4.930973,-16.83925,13.05192,5.700815,0.1487374,7.296157,10.76183,4.467988,9.878386,5.400991,-11.67976,-6.976146,21.95425,9.9872,13.34472,16.73396,21.43798,-13.69056,-6.789965,9.360647,7.537484
"AAT","American Assets Trust, Inc.","NYSE","Finance",1715.049,357.066,11.47952,-7.570982,5.509508,-7.763618,-2.30884,-2.268195,6.363404,-7.448339,8.238411,1.958895,-5.574,-4.387939,-2.503258,-0.5363405,6.226707,0.2780557,0.8570671,4.919648,7.876801,-3.527874,-1.49864,-8.460122,3.970933,9.785938,-0.3481925,3.945184,-4.453075,2.366161,-9.627401,-0.6557405,3.097236,-0.8058667,-2.404904,-2.464169,1.547992,-2.498722,-7.792896,-8.297199,5.327868,0.4788995,7.037687,5.0192,0.3656268,3.376079,-5.594933,3.787887,8.131969,-3.483903,6.895697,1.971829,4.655409,-0.06491542,-1.795763,3.811407,-1.023889,0.2138615,-0.2560794,5.882347,-2.861232,-3.429407,-0.7407427,-9.021073,-39.68637,25.30973,-4.419279,4.701018,-4.017061,-5.370373,-5.380988,-15.60484,37.07597,-2.166432
"AAWW","Atlas Air Worldwide Holdings, Inc.","NASDAQ","Industrials",1544.821,3025.69,-8.316427,0.3318548,-5.137813,12.22657,4.870069,-1.044297,-9.899169,-15.95117,-10.02343,17.89595,0.1939774,-1.383585,-11.15143,0.08291006,13.05162,-3.081775,9.764647,-4.120374,4.774606,-14.7383,12.30003,-2.265298,18.18182,4.824126,1.150525,7.568586,-4.06574,4.598737,-15.88947,3.472221,13.9022,11.7057,-3.092784,-6.762922,-6.401944,-0.4244506,-4.006827,7.319224,0.6661177,4.880071,7.154095,3.463197,-6.485349,-9.777779,4.679799,-16.79562,-1.022303,-20.76995,26.14365,0.4298329,-6.370366,-5.977416,-25.63564,26.13733,3.679311,-24.87649,-2.398455,-7.036877,12.94372,5.672669,-18.93362,19.55256,-3.929639,37.16074,22.25352,5.569184,18.68733,8.275723,6.116056,-5.796176,-5.662608,2.877033
"AAXN","Axon Enterprise Inc","NASDAQ","Industrials",8309.149,626.714,2.001512,-13.06924,2.683139,24.54621,-2.44053,7.834256,-17.96263,-14.0338,-2.111113,5.308139,-20.1196,-5.981505,-10.98902,25.59947,0.9773612,-4.146976,22.50822,11.46953,16.35195,-7.13306,6.554937,-21.77561,20.43343,-12.55411,3.052807,2.148831,-6.368113,7.854319,-2.9899,2.780056,-2.187747,-12.70608,4.325819,1.32333,8.03299,8.251631,-0.1509488,34.79103,4.298234,6.792164,53.40882,-3.246558,7.518196,-0.2338469,0.2490401,-7.660079,-29.20195,0.6441236,16.59428,6.278384,-0.07346272,14.91133,4.68725,-3.848457,8.783889,-12.37581,-5.319333,-5.699003,40.5179,-0.7046103,4.81714,0.729084,-8.530444,12.34548,9.263527,9.337044,-16.34297,3.067493,3.740132,3.44106,27.08796,4.382885
"ABBV","AbbVie, Inc.","NYSE","Healthcare",182302.8,40650,-7.778126,0.2485514,-3.239667,13.23994,3.529227,0.3884673,2.189457,-10.8556,-10.06612,8.017408,-2.350962,0.3727555,-7.326132,0.404489,1.384449,6.234765,3.163934,-1.464272,5.613148,-4.242611,-1.499295,-11.55859,7.705927,5.848539,-2.411366,1.560187,3.708422,1.197052,-0.6919503,8.694351,-3.585708,6.990635,17.82022,1.564252,4.846382,0.4048944,16.03764,-0.4383683,-16.85699,2.007401,-3.066522,-5.507398,-0.4533172,2.204239,-1.458639,-18.05263,17.52899,-2.206421,-12.90812,-1.565218,0.6117344,-1.720721,-2.763343,-5.201406,-9.237057,-0.09119511,15.18102,8.630347,7.314992,0.9232879,-8.49334,5.788696,-11.10722,11.95859,11.86625,8.24697,-4.266691,0.9061098,-5.0412,-2.341062,22.89072,-0.7497132
