Ticker Symbol,Book_Value_1,Book_Value_2,Book_Value_3,Book_Value_4,Book_Value_5,Market_Value_1,Market_Value_2,Market_Value_3,Market_Value_4,Market_Value_5
A,4243.00,4831.00,4567.00,4748.00,4873.00,13888.06,14658.83,21632.52,21488.24,26461.75
AAL,5635.00,3785.00,-780.00,-169.00,-118.00,26694.29,24191.26,24896.31,14789.27,12563.50
AAOI,165.40,227.38,333.28,329.09,273.79,288.89,403.18,733.03,305.49,238.93
AAON,178.92,205.90,237.23,249.44,290.14,1256.04,1743.56,1925.59,1826.43,2573.20
AAP,2460.65,2916.19,3415.20,3550.81,3549.08,11022.84,12456.30,7366.90,11477.84,11092.58
AAPL,128249.00,134047.00,107147.00,90488.00,65339.00,583612.70,608960.25,868879.62,748539.08,1304764.77
AAT,799.56,809.56,833.71,802.98,1313.92,1741.39,1966.21,1802.17,1901.46,2757.13
AAWW,1454.18,1517.34,1789.86,2067.96,1792.18,1018.25,1304.25,1482.85,1079.65,713.26
AAXN,157.00,150.89,167.44,467.32,543.50,927.48,1267.31,1402.19,2572.97,4348.51
ABBV,3945.00,4636.00,5097.00,-8446.00,-8172.00,96842.41,101763.70,154390.72,138673.70,130938.94
ABC,2129.40,2064.46,2932.82,2878.92,-1018.92,21326.19,17209.64,20024.29,15793.01,17507.50
ABCB,514.76,646.44,804.48,1456.35,2469.58,1094.35,1522.51,1794.54,1504.35,2963.38
ABG,314.50,279.70,394.20,473.20,646.30,1711.77,1367.17,1332.33,1306.64,2162.95
ABM,1007.50,974.00,1375.70,1454.60,1542.00,1596.37,2268.90,2471.20,2120.21,2511.08
ABMD,368.78,452.07,689.52,936.89,1065.47,3831.24,4888.17,8286.55,14645.67,7695.80
ABT,21211.00,20538.00,30897.00,30524.00,31088.00,66993.14,56551.41,99336.08,127035.57,153608.06
ABTX,258.49,279.82,306.87,702.98,709.87,303.03,466.52,496.29,706.54,782.48
ACA,0.00,1341.80,1407.90,1684.50,1790.40,0.00,0.00,0.00,1351.27,2155.78
ACC,2770.20,3444.99,3484.99,3481.05,3294.68,4643.70,6574.60,5597.58,5671.73,6462.15
ACHC,1683.03,2167.72,2572.87,2333.31,2505.38,4477.66,2896.27,2866.66,2269.06,2942.28
ACIW,654.40,754.92,764.60,1048.23,1129.97,2530.74,2128.80,2688.19,3209.16,4379.45
ACLS,183.76,201.46,353.61,408.34,419.43,299.69,427.31,901.56,576.94,781.19
ACM,3366.92,3996.13,4092.78,3690.58,3292.56,4546.78,5597.54,5855.74,4143.32,6775.13
ACN,7555.26,8949.48,10364.75,14409.01,17000.54,68752.04,76126.46,98381.73,89886.63,138333.13
ADBE,7001.58,7424.84,8459.87,9362.11,10530.16,46857.21,51189.52,86383.33,110435.33,159653.97
ADC,451.12,682.98,908.66,1236.08,1689.33,701.46,1204.45,1502.86,2038.55,3197.90
ADI,5165.62,10161.54,11268.17,11709.19,11997.95,17263.20,22379.35,32819.64,31770.79,43769.05
ADM,17899.00,17173.00,18313.00,18981.00,19208.00,21836.65,26267.00,22414.75,22969.60,25802.41
ADNT,5626.00,4176.00,4279.00,2392.00,1848.00,0.00,5489.17,7330.30,1408.38,1993.11
ADP,4481.60,3977.00,4735.90,5399.90,5752.20,39073.43,46371.58,51972.56,57395.49,73775.02
ADS,2010.00,1658.20,1855.30,2332.10,1588.30,16909.02,13197.98,14004.43,8175.39,5167.51
ADSK,1619.60,733.60,-256.00,-210.90,-139.10,13728.94,16471.40,23090.57,28166.73,40367.25
ADTN,480.16,479.52,497.91,446.28,380.43,853.43,1081.70,931.69,511.76,473.00
ADUS,141.73,157.76,176.31,268.49,475.59,258.60,401.80,404.78,889.12,1512.67
AEE,6946.00,7103.00,7184.00,7631.00,8059.00,10489.10,12728.62,14313.03,15935.41,18895.09
AEGN,578.03,568.50,494.25,462.74,427.76,699.89,804.92,827.16,527.36,688.08
AEIS,263.58,392.07,520.64,606.79,676.71,1158.62,2172.96,2676.08,1652.34,2729.21
AEL,1944.54,2291.60,2850.16,2399.10,4570.12,1959.61,1985.02,2738.71,2524.92,2725.01
AEO,1051.38,1204.57,1246.79,1287.56,1247.85,3016.85,2759.11,3333.39,3410.43,2454.66
AEP,17891.70,17397.00,18298.90,19067.80,19675.10,28613.63,30958.16,36187.90,36865.20,46703.96
AES,3149.00,2794.00,2465.00,3208.00,2996.00,6439.29,7659.62,7151.99,9576.82,13212.66
AFG,4592.00,4916.00,5330.00,4970.00,6269.00,6296.12,7652.87,9563.76,8080.09,9887.82
AFL,17708.00,20482.00,24598.00,23462.00,28959.00,25561.65,28403.91,34510.67,34683.89,38829.55
AGCO,2838.30,2776.10,3029.60,2932.90,2853.80,3881.74,4644.23,5682.21,4358.08,5834.10
AGO,6063.00,6504.00,6839.00,6555.00,6639.00,3735.21,4924.27,3978.16,4044.95,4676.07
AGYS,123.47,113.67,108.43,100.62,71.76,229.26,242.41,284.93,337.49,601.12
AHH,49.55,148.14,226.69,273.87,408.58,465.05,785.96,970.74,939.13,1421.03
AIG,89658.00,76300.00,65171.00,56361.00,65675.00,76657.67,67082.19,53560.00,34864.00,44654.62
AIN,498.86,507.52,569.77,605.25,698.68,1170.28,1486.23,1978.69,2014.35,2452.82
AIR,865.80,914.20,936.30,905.90,902.60,921.30,1134.57,1364.52,1310.45,1574.61
AIT,657.92,745.26,814.96,897.03,843.54,1592.38,2316.99,2643.32,2090.42,2577.94
AIV,1622.39,1793.90,1663.14,1699.42,1780.65,6261.63,7130.56,6863.49,6829.67,7689.89
AIZ,4523.97,4098.10,4270.60,5112.00,5652.80,5302.68,5294.19,5426.37,5550.10,7948.14
AJG,3638.30,3596.60,4235.60,4498.90,5155.50,7233.89,9254.72,11440.96,13535.15,17762.59
AJRD,-145.50,35.60,102.40,421.30,576.70,1005.37,1256.50,2343.12,2758.51,3593.07
AKAM,3120.88,3224.37,3362.47,3191.86,3657.96,9364.93,11555.64,11001.63,9947.86,13959.11
AKR,1100.49,1588.58,1567.20,1459.51,1542.31,2329.07,2642.62,2290.19,1937.81,2254.58
ALB,3254.39,3795.06,3674.55,3585.32,3932.25,6284.50,9681.93,14131.29,8185.29,7744.65
ALE,1820.20,1893.00,2068.20,2155.80,2231.90,2488.92,3175.01,3795.31,3919.58,4193.90
ALEX,1223.60,1209.30,646.40,1202.60,1125.10,1725.78,2199.52,1364.18,1323.86,1514.53
ALG,360.47,387.72,449.11,507.37,569.76,595.20,875.96,1312.95,907.37,1484.77
ALGN,847.93,995.39,1154.29,1252.89,1346.17,5234.43,7660.54,17814.68,16751.13,21991.97
ALGT,350.01,473.62,553.31,690.32,883.55,2825.95,2753.28,2488.06,1619.54,2834.84
ALK,2411.00,2931.00,3460.00,3751.00,4331.00,10154.61,10937.87,9045.03,7502.80,8345.00
ALL,20025.00,20573.00,22551.00,21312.00,25998.00,24047.84,27294.46,37572.66,28461.26,36428.87
ALLE,25.60,113.30,401.60,651.00,757.40,6322.51,6144.99,7561.59,7576.89,11571.83
