Symbol,Monthly_Return_1,Monthly_Return_2,Monthly_Return_3,Monthly_Return_4,Monthly_Return_5,Monthly_Return_6,Monthly_Return_7,Monthly_Return_8,Monthly_Return_9,Monthly_Return_10,Monthly_Return_11
A,-3.2,-6.6,-7.1,11.2,18.8,-1.7,9.3,4.2,-0.2,0.9,14.5
AAL,-6.4,-29.0,-36.0,12.3,-1.3,17.6,-13.2,17.4,-6.2,-10.3,25.3
AAN,3.9,-33.7,-42.1,61.7,21.0,21.6,15.2,7.1,0.2,-7.0,20.4
AAOI,-4.9,-21.0,-15.0,46.4,-12.7,18.8,39.5,-18.2,-3.6,-21.7,-5.4
AAON,6.1,4.9,-12.2,1.6,19.3,0.0,12.5,-3.9,5.4,-3.5,11.5
AAP,-17.7,0.9,-29.8,35.6,19.5,1.9,5.8,4.1,-1.8,-4.9,0.3
AAPL,5.4,-11.7,-7.0,22.0,10.0,13.3,16.7,21.4,-13.7,-6.8,9.4
AAT,-0.7,-9.0,-39.7,25.3,-4.4,4.7,-4.0,-5.4,-5.4,-15.6,37.1
AAWW,-18.9,19.6,-3.9,37.2,22.3,5.6,18.7,8.3,6.1,-5.8,-5.7
AAXN,4.8,0.7,-8.5,12.3,9.3,9.3,-16.3,3.1,3.7,3.4,27.1
ABBV,-8.5,5.8,-11.1,12.0,11.9,8.2,-4.3,0.9,-5.0,-2.3,22.9
ABC,0.6,-1.4,5.0,4.0,10.4,5.9,0.7,-3.2,2.8,0.7,7.3
ABCB,-5.5,-15.0,-30.5,12.8,2.2,-2.0,3.1,6.3,-7.0,27.2,16.1
ABG,-13.7,-8.1,-37.7,42.9,10.0,6.3,32.9,5.6,-9.9,2.7,9.5
ABM,1.1,-13.7,-26.0,47.6,-7.6,12.6,-0.1,6.2,-4.0,-5.5,10.9
ABMD,9.2,-19.3,-3.4,32.4,22.0,6.8,17.5,2.6,-9.8,-3.3,8.8
ABT,0.3,-11.6,2.4,20.3,5.6,-1.7,9.8,8.8,2.1,-3.2,3.0
ABTX,-1.1,-10.8,-27.3,12.8,4.6,-0.1,2.1,4.2,-8.7,20.0,11.9
ACA,-1.8,-1.8,-7.5,-0.3,8.3,11.8,2.7,9.6,-6.5,4.5,12.4
ACC,-2.5,-5.3,-36.1,39.7,-1.4,2.5,-2.1,-4.9,3.2,2.2,6.2
ACHC,-3.3,-7.9,-38.0,39.9,27.3,-12.7,16.9,3.7,-3.6,19.0,19.1
ACIW,-9.1,-19.1,-13.3,22.0,4.2,-2.7,-0.8,9.7,-12.9,8.6,11.7
ACLS,0.2,-0.7,-23.7,33.5,19.4,6.3,8.3,-19.7,-9.1,-4.2,22.2
ACM,11.8,-6.8,-33.6,33.4,10.7,-4.2,-0.3,9.2,5.5,6.2,15.7
ACN,-2.5,-12.0,-9.6,19.7,12.0,5.6,4.7,6.7,-5.8,-3.7,14.8
ADBE,6.5,-1.7,-7.8,17.4,12.4,11.7,1.0,15.5,-7.1,-10.5,7.0
ADC,8.2,-5.4,-13.8,7.4,0.3,2.0,-1.2,-0.1,-3.9,-3.8,6.2
ADI,-7.6,-0.6,-17.8,30.3,9.0,8.7,-4.6,1.8,-1.7,-0.4,17.3
ADM,-3.4,-15.9,-6.6,9.7,11.9,2.6,8.7,4.5,3.0,-0.8,7.6
ADNT,21.0,-6.9,-62.1,98.1,18.5,-7.1,3.9,4.2,-2.3,9.3,47.5
ADP,0.5,-9.7,-11.7,13.1,4.3,2.3,-10.9,4.6,0.7,14.7,10.1
ADS,-8.4,-16.5,-60.8,61.3,-0.1,-9.6,1.4,1.7,-7.1,18.6,41.9
ADSK,7.3,-3.0,-18.2,34.4,20.3,9.1,-2.0,3.9,-8.9,0.7,19.0
ADTN,-8.5,-11.1,-4.5,33.9,14.2,-6.9,17.1,-10.7,-8.5,3.8,18.2
ADUS,-3.0,-19.2,-11.4,24.1,23.0,-6.0,4.2,-2.9,1.6,-0.1,1.7
AEE,6.8,-3.7,-7.8,7.4,4.6,-5.4,10.7,-1.4,0.8,1.6,-4.1
AEGN,-6.6,-13.8,-0.4,-2.0,2.0,5.0,-2.2,5.0,-14.0,-0.9,21.5
AEIS,-1.8,-15.0,-18.5,25.9,25.8,2.1,11.7,0.7,-15.0,5.3,43.0
AEL,-11.8,-4.3,-25.6,28.6,11.1,15.9,9.1,-6.1,-8.1,-21.7,5.9
AEO,-2.0,-10.6,-38.3,13.2,18.2,10.2,-7.6,26.1,15.9,-8.1,31.2
AEP,10.3,-14.4,-10.4,11.5,4.7,-7.5,6.0,-9.3,5.0,8.3,-5.6
AES,-0.2,-15.8,-18.7,3.5,-3.5,15.5,5.7,16.5,1.1,8.8,4.8
AFG,-0.8,-15.0,-24.2,1.7,-2.9,5.2,0.0,10.0,0.6,8.7,19.3
AFL,-2.5,-16.9,-20.1,16.7,-0.4,-2.5,0.5,2.1,-1.0,-6.7,29.4
AGCO,-9.2,-13.8,-21.8,18.3,9.8,-2.0,21.6,8.3,1.2,5.1,20.1
AGO,-6.5,-11.0,-36.8,24.2,-10.3,-8.6,-8.0,-1.7,0.0,16.4,18.0
AGYS,27.9,-1.1,-48.0,26.0,6.5,-10.9,19.8,21.0,-6.3,9.4,38.0
AHH,-0.1,-8.6,-36.2,-0.6,-7.9,14.5,-5.5,4.8,-8.6,-5.4,17.8
AIG,-2.1,-16.1,-42.5,17.7,25.8,2.1,8.7,-9.3,-5.6,13.6,22.1
AIN,-8.1,-8.2,-26.1,17.6,19.8,-4.8,-14.9,7.9,-5.9,0.8,34.5
AIR,-5.6,-18.9,-48.6,18.7,10.0,2.9,-18.0,17.2,-7.4,1.9,45.8
AIT,-3.2,-8.6,-22.5,21.1,12.8,6.4,3.7,-4.6,-11.8,10.0,28.5
AIV,2.1,-9.2,-26.5,16.6,1.1,-0.8,0.0,-7.2,-6.3,-9.3,-4.9
AIZ,-0.4,-7.6,-13.7,4.0,0.3,0.2,6.3,13.1,-1.5,1.6,3.8
AJG,7.7,-5.0,-16.4,1.9,21.6,3.2,10.4,-2.0,-0.1,-1.8,11.3
AJRD,14.0,-5.4,-15.1,1.9,7.1,-9.2,5.5,0.3,-3.2,-19.2,15.5
AKAM,8.1,-7.3,5.8,6.7,10.4,1.3,5.7,3.5,-7.1,-13.5,8.8
AKR,-4.3,-8.0,-45.8,12.6,-0.9,2.6,-7.8,-5.8,-7.2,-12.5,52.2
ALB,9.9,2.0,-31.1,12.0,33.2,-0.3,8.4,10.4,-8.3,7.5,45.9
ALE,2.8,-17.4,-12.0,1.3,5.5,-7.8,7.1,-9.0,-2.9,-1.0,9.0
ALEX,4.3,-14.0,-40.3,32.3,-2.5,5.7,-3.4,2.5,-8.1,10.9,21.8
ALG,-0.8,-11.1,-19.9,19.8,10.3,2.2,1.8,7.6,-6.0,11.3,12.8
ALGN,-7.9,-15.1,-20.3,36.7,20.8,9.5,7.3,1.1,7.2,34.2,13.0
ALGT,-3.4,-19.3,-39.6,10.1,44.3,0.2,3.5,14.8,-6.8,14.0,26.3
ALK,-4.7,-21.9,-43.6,23.4,13.6,0.4,-3.5,13.1,-6.4,2.7,34.5
ALL,5.4,-11.2,-12.8,17.7,-1.9,-2.1,-1.2,-1.5,1.3,-3.8,15.3
ALLE,3.8,-11.1,-20.0,18.9,2.3,1.6,-2.4,4.0,-3.1,0.0,15.8
ALRM,2.2,9.8,-19.4,17.9,13.1,27.9,5.0,-14.5,-11.7,1.5,30.1
ALXN,-8.1,-5.4,-4.5,19.5,15.4,-5.6,-8.8,11.4,1.6,-0.4,6.1
AM,-33.6,-13.5,-51.8,131.7,0.4,8.1,9.2,19.4,-16.5,10.4,17.6
AMAT,-5.0,0.2,-21.2,14.7,19.8,8.6,7.8,-4.2,-3.9,-2.3,39.3
AMBC,-0.6,-10.3,-35.8,51.3,-20.3,4.9,-8.2,-1.3,1.7,-4.7,19.2
