Symbol,Name,Stock Exchange,RBICS Economy,SIC Code
A,"Agilent Technologies, Inc.",NYSE,Healthcare,3826
AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,4512
AAN,"PROG Holdings, Inc.",NYSE,Consumer Cyclicals,7359
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,3357
AAON,"AAON, Inc.",NASDAQ,Industrials,3585
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,5531
AAPL,Apple Inc.,NASDAQ,Technology,3663
AAT,"American Assets Trust, Inc.",NYSE,Finance,6798
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,4512
AAXN,Axon Enterprise Inc,NASDAQ,Industrials,3489
ABBV,"AbbVie, Inc.",NYSE,Healthcare,2834
ABC,AmerisourceBergen Corporation,NYSE,Healthcare,5122
ABCB,Ameris Bancorp,NASDAQ,Finance,6022
ABG,"Asbury Automotive Group, Inc.",NYSE,Consumer Cyclicals,5511
ABM,ABM Industries Incorporated,NYSE,Business Services,7349
ABMD,"ABIOMED, Inc.",NASDAQ,Healthcare,3841
ABT,Abbott Laboratories,NYSE,Healthcare,3841
ABTX,"Allegiance Bancshares, Inc.",NASDAQ,Finance,6022
ACA,Arcosa Inc,NYSE,Industrials,4939
ACC,"American Campus Communities, Inc.",NYSE,Finance,6798
ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,Healthcare,8059
ACIW,"ACI Worldwide, Inc.",NASDAQ,Technology,7372
ACLS,"Axcelis Technologies, Inc.",NASDAQ,Technology,3559
ACM,AECOM,NYSE,Industrials,8711
ACN,Accenture Plc Class A,NYSE,Technology,7379
ADBE,Adobe Inc.,NASDAQ,Technology,7372
ADC,Agree Realty Corporation,NYSE,Finance,6512
ADI,"Analog Devices, Inc.",NASDAQ,Technology,3674
ADM,Archer-Daniels-Midland Company,NYSE,Consumer Non-Cyclicals,2075
ADNT,Adient plc,NYSE,Consumer Cyclicals,2399
ADP,"Automatic Data Processing, Inc.",NASDAQ,Business Services,7374
ADS,Alliance Data Systems Corporation,NYSE,Finance,7374
ADSK,"Autodesk, Inc.",NASDAQ,Technology,7372
ADTN,"ADTRAN, Inc.",NASDAQ,Technology,3661
ADUS,Addus HomeCare Corporation,NASDAQ,Healthcare,8082
AEE,Ameren Corporation,NYSE,Utilities,4911
AEGN,Aegion Corporation,NASDAQ,Industrials,1623
AEIS,"Advanced Energy Industries, Inc.",NASDAQ,Technology,3629
AEL,American Equity Investment Life Holding Company,NYSE,Finance,6311
AEO,"American Eagle Outfitters, Inc.",NYSE,Consumer Cyclicals,5651
AEP,"American Electric Power Company, Inc.",NASDAQ,Utilities,4911
AES,AES Corporation,NYSE,Utilities,4911
AFG,"American Financial Group, Inc.",NYSE,Finance,6331
AFL,Aflac Incorporated,NYSE,Finance,6311
AGCO,AGCO Corporation,NYSE,Industrials,3523
AGO,Assured Guaranty Ltd.,NYSE,Finance,6351
AGYS,"Agilysys, Inc.",NASDAQ,Consumer Services,7373
AHH,"Armada Hoffler Properties, Inc.",NYSE,Finance,6798
AIG,"American International Group, Inc.",NYSE,Finance,6399
AIN,Albany International Corp. Class A,NYSE,Industrials,2397
AIR,AAR CORP.,NYSE,Industrials,3724
AIT,"Applied Industrial Technologies, Inc.",NYSE,Industrials,5085
AIV,APARTMENT INVT & MGMT,NYSE,Finance,6798
AIZ,"Assurant, Inc.",NYSE,Finance,6399
AJG,Arthur J. Gallagher & Co.,NYSE,Finance,6411
AJRD,"Aerojet Rocketdyne Holdings, Inc.",NYSE,Industrials,3812
AKAM,"Akamai Technologies, Inc.",NASDAQ,Technology,7372
AKR,Acadia Realty Trust,NYSE,Finance,6798
ALB,Albemarle Corporation,NYSE,Non-Energy Materials,2819
ALE,"ALLETE, Inc.",NYSE,Utilities,4931
ALEX,"Alexander & Baldwin, Inc.",NYSE,Finance,6798
ALG,Alamo Group Inc.,NYSE,Industrials,3523
ALGN,"Align Technology, Inc.",NASDAQ,Healthcare,3843
ALGT,Allegiant Travel Company,NASDAQ,Industrials,4512
ALK,"Alaska Air Group, Inc.",NYSE,Industrials,4512
ALL,Allstate Corporation,NYSE,Finance,6331
ALLE,Allegion PLC,NYSE,Non-Energy Materials,7382
ALRM,"Alarm.com Holdings, Inc.",NASDAQ,Technology,7372
ALXN,"Alexion Pharmaceuticals, Inc.",NASDAQ,Healthcare,2834
AM,Antero Midstream Corp.,NYSE,Energy,4922
AMAT,"Applied Materials, Inc.",NASDAQ,Technology,3559
AMBC,"Ambac Financial Group, Inc.",NYSE,Finance,6351
AMCR,Amcor PLC,NYSE,Non-Energy Materials,2653
AMCX,AMC Networks Inc. Class A,NASDAQ,Consumer Services,4841
AMD,"Advanced Micro Devices, Inc.",NASDAQ,Technology,3674
AME,"AMETEK, Inc.",NYSE,Industrials,3823
AMED,"Amedisys, Inc.",NASDAQ,Healthcare,8082
AMG,"Affiliated Managers Group, Inc.",NYSE,Finance,6282
AMGN,Amgen Inc.,NASDAQ,Healthcare,2836
AMN,"AMN Healthcare Services, Inc.",NYSE,Healthcare,7361
AMP,"Ameriprise Financial, Inc.",NYSE,Finance,6282
AMPH,Amphastar Pharmaceuticals Inc,NASDAQ,Healthcare,2834
AMSF,"AMERISAFE, Inc.",NASDAQ,Finance,6331
AMT,American Tower Corporation,NYSE,Finance,6798
AMWD,American Woodmark Corporation,NASDAQ,Consumer Cyclicals,2434
AMZN,"Amazon.com, Inc.",NASDAQ,Consumer Non-Cyclicals,5961
AN,"AutoNation, Inc.",NYSE,Consumer Cyclicals,5511
ANDE,"Andersons, Inc.",NASDAQ,Consumer Non-Cyclicals,5153
ANET,"Arista Networks, Inc.",NYSE,Technology,7373
ANF,Abercrombie & Fitch Co. Class A,NYSE,Consumer Cyclicals,5651
ANGO,"AngioDynamics, Inc.",NASDAQ,Healthcare,3841
