Symbol,Size_1,Size_2,Size_3,Size_4,Size_5,Size_6,Size_7,Size_8,Size_9,Size_10,Size_11,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11
A,26461.7,25608.7,23950.9,22502.3,23737.9,27292.6,27286.7,29744.5,31007.4,31120.8,31475.3,11.6,26.5,8.6,-5.1,-12.2,-1.0,31.5,16.6,39.2,41.2,34.9
AAL,12280.8,11492.9,8116.4,5219.2,5079.0,4440.4,6641.0,5655.2,6636.7,6250.2,5737.4,-28.4,-10.7,-25.7,-45.0,-62.3,-64.6,-61.4,-60.2,-62.7,-50.4,-54.1
AAN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AAOI,239.0,227.4,179.7,153.8,217.1,179.6,221.1,323.6,264.9,256.2,200.0,-48.0,-23.0,-34.6,-32.6,-39.8,-12.6,2.0,6.8,43.1,30.7,10.0
AAON,2574.2,2732.0,2865.6,2514.0,2479.7,2818.5,2824.8,3082.9,2975.3,3148.8,3052.6,30.1,40.9,43.5,33.3,4.0,-4.5,19.3,9.2,14.2,18.7,31.6
AAP,11092.6,9124.9,9210.1,6681.5,8353.6,9627.2,9843.5,10374.9,10807.1,10612.8,10182.8,-11.6,1.7,-17.2,-17.2,-46.3,-26.2,-10.1,-9.0,0.1,13.3,-8.2
AAPL,1304765.0,1354255.0,1196081.0,1114916.0,1285516.0,1378059.0,1562781.0,1817315.0,2206911.0,1966079.0,1850816.0,49.7,86.2,85.9,56.2,33.0,39.6,81.6,81.0,103.9,147.3,106.3
AAT,2752.0,2731.6,2489.8,1481.9,1701.1,1572.0,1672.3,1622.0,1534.9,1447.2,1261.7,14.2,14.3,6.9,-5.4,-45.9,-38.7,-42.3,-40.6,-42.3,-45.5,-47.9
AAWW,713.3,578.2,693.6,576.0,858.3,1020.5,1124.2,1361.2,1473.8,1591.7,1627.9,-51.0,-34.7,-58.2,-50.5,-50.0,-31.0,10.4,-2.3,51.4,118.1,158.2
AAXN,4348.5,4558.0,4591.2,4134.8,4349.8,4544.3,6228.0,5276.0,5438.6,5757.2,6277.7,69.8,67.5,51.6,42.1,28.1,14.0,13.7,52.0,21.5,42.9,67.3
