Ticker Symbol,Book_Q1,Book_Q2,Book_Q3,Book_Q4,Mkt_Q1,Mkt_Q2,Mkt_Q3,Mkt_Q4
A,4848.00,4768.00,4981.00,4873.00,26461.75,22177.23,27286.66,31120.77
AAL,-118.00,-2636.00,-3169.00,-5528.00,12563.50,5193.66,6640.99,6250.22
AAOI,273.79,257.50,257.46,265.17,238.93,153.56,221.09,256.21
AAON,290.14,306.32,322.70,344.89,2573.20,2514.77,2824.79,3148.77
AAP,3549.08,3537.03,3726.52,3762.66,11092.58,6447.43,9843.47,10612.80
AAPL,89531.00,78425.00,72282.00,65339.00,1304764.77,1099546.65,1581165.41,1980644.69
AAT,1313.92,1304.24,1300.95,1280.94,2757.13,1501.71,1672.46,1452.22
AAWW,1792.18,1832.75,1930.37,2017.42,713.26,670.66,1124.23,1591.84
AAXN,543.50,559.59,869.81,895.15,4348.51,4212.81,6183.79,5757.24
ABBV,-8172.00,-7415.00,14708.00,15270.00,130938.94,112507.84,173026.76,154581.74
ABC,2954.63,3590.59,3857.25,-1018.92,17507.50,18221.42,20496.90,19785.42
ABCB,2469.58,2437.15,2460.13,2564.68,2963.38,1647.44,1638.07,1582.99
ABG,646.30,660.90,713.10,811.90,2162.95,1064.76,1491.68,1879.75
ABM,1542.00,1559.70,1395.20,1451.30,2511.08,1623.13,2419.98,2444.75
ABMD,1046.86,1065.47,1101.85,1182.41,7695.80,6533.46,10880.86,12520.31
ABT,31088.00,30218.00,30578.00,31386.00,153608.06,139579.58,161879.56,192886.11
ABTX,709.87,706.59,736.14,753.05,782.48,490.74,518.03,477.49
ACA,1790.40,1816.00,1849.10,1881.60,2155.78,1918.61,2034.50,2131.31
ACC,3294.68,3309.81,3232.57,3152.94,6462.15,3818.52,4810.65,4806.11
ACHC,2505.38,2464.17,2503.34,2606.64,2942.28,1629.10,2234.24,2622.63
ACIW,1129.97,1067.80,1090.74,1122.84,4379.45,2804.55,3129.35,3041.24
ACLS,419.43,427.17,445.02,460.66,781.19,601.15,915.57,736.23
ACM,3673.00,3531.50,3744.89,3292.56,6775.13,4734.89,6016.03,6710.67
ACN,15167.14,15474.59,16014.61,17000.54,138333.13,108046.84,136604.14,143774.08
ADBE,10530.16,10465.00,10881.00,11713.00,159653.97,153328.30,208803.08,235268.58
ADC,1689.33,1755.09,2184.10,2263.57,3197.90,3087.39,3538.56,3523.78
ADI,11689.52,11590.86,11777.56,11997.95,43769.05,33010.93,45183.59,43142.41
ADM,19208.00,18952.00,19293.00,19322.00,25802.41,19602.57,22164.30,25832.02
ADNT,1848.00,1743.00,1541.00,1250.00,1993.11,851.48,1541.58,1627.18
ADP,5364.40,5490.70,5752.20,5808.90,73775.02,59012.17,63989.11,59959.23
ADS,1588.30,1087.70,1154.60,1322.60,5167.51,1602.67,2148.97,2003.08
ADSK,-139.10,-139.10,67.30,69.30,40367.25,34267.29,52429.66,50655.68
ADTN,380.43,363.72,364.19,369.59,473.00,369.28,524.18,491.81
ADUS,475.59,486.81,494.86,507.60,1512.67,1051.81,1440.17,1493.20
AEE,8059.00,8085.00,8227.00,8489.00,18895.09,17969.87,17371.25,19539.05
AEGN,427.76,412.83,422.06,399.61,688.08,552.31,486.95,434.80
AEIS,676.71,685.40,717.81,768.15,2729.21,1862.97,2594.03,2412.54
AEL,4570.12,3522.76,5062.06,6118.73,2725.01,1716.29,2263.31,2022.08
AEO,1247.85,996.98,997.90,1068.20,2454.66,1329.27,1803.95,2460.15
AEP,19675.10,19781.60,20076.50,20438.40,46703.96,39576.72,39468.24,40550.78
AES,2996.00,2539.00,2462.00,2004.00,13212.66,9042.74,9634.51,12045.53
