Symbol,Name,Stock Exchange,RBICS Economy,MSCI ESG Rtg Overall Company Rating,MSCI ESG Rtg Overall Industry-Adjusted Company Score,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Social,MSCI ESG Rtg Score Governance
A,"Agilent Technologies, Inc.",NYSE,Healthcare,AA,8.2,10.0,6.8,5.9
AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,B,2.3,3.4,3.1,3.7
AAN,Aaron's Company Inc,NYSE,Consumer Cyclicals,@NA,#N/A,#N/A,#N/A,#N/A
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,@NA,#N/A,#N/A,#N/A,#N/A
AAON,"AAON, Inc.",NASDAQ,Industrials,A,7.1,5.5,6.5,5.5
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,BBB,4.5,2.0,5.0,4.5
AAPL,Apple Inc.,NASDAQ,Technology,BBB,4.5,3.7,5.3,3.1
AAT,"American Assets Trust, Inc.",NYSE,Finance,BB,3.0,6.3,1.4,5.2
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,BB,4.1,1.8,6.6,5.6
AAXN,Axon Enterprise Inc,NASDAQ,Industrials,A,6.5,3.6,4.2,6.9
ABBV,"AbbVie, Inc.",NYSE,Healthcare,A,6.0,7.3,4.0,5.0
ABC,AmerisourceBergen Corporation,NYSE,Healthcare,BBB,5.5,10.0,3.0,5.3
ABCB,Ameris Bancorp,NASDAQ,Finance,BBB,5.0,1.6,3.3,5.6
ABG,"Asbury Automotive Group, Inc.",NYSE,Consumer Cyclicals,BBB,4.7,1.8,4.4,6.1
ABM,ABM Industries Incorporated,NYSE,Business Services,BBB,5.4,8.3,5.7,6.0
ABMD,"ABIOMED, Inc.",NASDAQ,Healthcare,A,6.3,6.3,7.1,5.2
ABT,Abbott Laboratories,NYSE,Healthcare,BB,3.2,10.0,4.9,3.3
ABTX,"Allegiance Bancshares, Inc.",NASDAQ,Finance,BB,2.9,0.8,3.7,5.2
ACA,"Arcosa, Inc.",NYSE,Industrials,BBB,5.4,4.2,2.3,6.3
ACC,"American Campus Communities, Inc.",NYSE,Finance,BBB,5.7,5.2,5.0,5.5
ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,Healthcare,BBB,5.1,6.5,4.4,5.6
ACIW,"ACI Worldwide, Inc.",NASDAQ,Technology,AA,7.6,5.0,5.0,6.7
ACLS,"Axcelis Technologies, Inc.",NASDAQ,Technology,B,2.3,2.3,5.6,4.4
ACM,AECOM,NYSE,Industrials,AA,7.7,4.8,5.2,4.8
ACN,Accenture Plc Class A,NYSE,Technology,A,6.7,7.1,4.5,5.4
ADBE,Adobe Inc.,NASDAQ,Technology,AA,8.5,4.8,6.6,5.7
ADC,Agree Realty Corporation,NYSE,Finance,BB,3.0,4.3,4.6,4.8
ADI,"Analog Devices, Inc.",NASDAQ,Technology,BBB,4.8,6.2,6.0,3.5
ADM,Archer-Daniels-Midland Company,NYSE,Consumer Non-Cyclicals,AA,7.8,6.1,6.0,3.5
ADNT,Adient plc,NYSE,Consumer Cyclicals,B,2.8,2.8,4.0,3.9
ADP,"Automatic Data Processing, Inc.",NASDAQ,Business Services,AAA,9.4,10.0,5.5,5.6
ADS,Alliance Data Systems Corporation,NYSE,Finance,BB,3.5,10.0,2.4,5.7
ADSK,"Autodesk, Inc.",NASDAQ,Technology,AA,8.1,5.9,5.5,6.2
ADTN,"ADTRAN, Inc.",NASDAQ,Technology,AA,8.1,2.5,6.0,5.8
ADUS,Addus HomeCare Corporation,NASDAQ,Healthcare,A,6.8,5.1,5.9,6.6
AEE,Ameren Corporation,NYSE,Utilities,A,6.5,6.2,5.5,5.8
AEGN,Aegion Corporation,NASDAQ,Industrials,A,6.3,5.1,3.7,4.9
